x1,y,yy
10.0,28.0,28.0
10.5,29.0,29.5
11.0,30.0,31.0
11.5,31.0,32.5
12.0,32.0,34.0
12.5,33.0,35.5
13.0,34.0,37.0
13.5,35.0,38.5
14.0,36.0,40.0
14.5,37.0,41.5
15.0,38.0,43.0
15.5,39.0,44.5
16.0,40.0,46.0
16.5,41.0,47.5
17.0,42.0,49.0
17.5,43.0,50.5
18.0,44.0,52.0
18.5,45.0,53.5
19.0,46.0,55.0
19.5,47.0,56.5
20.0,48.0,58.0
10.0,29.0,29.0
10.5,30.0,30.5
11.0,31.0,32.0
11.5,32.0,33.5
12.0,33.0,35.0
12.5,34.0,36.5
13.0,35.0,38.0
13.5,36.0,39.5
14.0,37.0,41.0
14.5,38.0,42.5
15.0,39.0,44.0
15.5,40.0,45.5
16.0,41.0,47.0
16.5,42.0,48.5
17.0,43.0,50.0
17.5,44.0,51.5
18.0,45.0,53.0
18.5,46.0,54.5
19.0,47.0,56.0
19.5,48.0,57.5
20.0,49.0,59.0
10.0,30.0,30.0
10.5,31.0,31.5
11.0,32.0,33.0
11.5,33.0,34.5
12.0,34.0,36.0
12.5,35.0,37.5
13.0,36.0,39.0
13.5,37.0,40.5
14.0,38.0,42.0
14.5,39.0,43.5
15.0,40.0,45.0
15.5,41.0,46.5
16.0,42.0,48.0
16.5,43.0,49.5
17.0,44.0,51.0
17.5,45.0,52.5
18.0,46.0,54.0
18.5,47.0,55.5
19.0,48.0,57.0
19.5,49.0,58.5
20.0,50.0,60.0
10.0,27.0,27.0
10.5,28.0,28.5
11.0,29.0,30.0
11.5,30.0,31.5
12.0,31.0,33.0
12.5,32.0,34.5
13.0,33.0,36.0
13.5,34.0,37.5
14.0,35.0,39.0
14.5,36.0,40.5
15.0,37.0,42.0
15.5,38.0,43.5
16.0,39.0,45.0
16.5,40.0,46.5
17.0,41.0,48.0
17.5,42.0,49.5
18.0,43.0,51.0
18.5,44.0,52.5
19.0,45.0,54.0
19.5,46.0,55.5
20.0,47.0,57.0
