date,passengers
1949-01-01,64
1949-02-01,75
1949-03-01,98
1949-04-01,93
1949-05-01,80
1949-06-01,103
1949-07-01,122
1949-08-01,122
1949-09-01,104
1949-10-01,77
1949-11-01,50
1949-12-01,75
1950-01-01,70
1950-02-01,88
1950-03-01,112
1950-04-01,103
1950-05-01,87
1950-06-01,123
1950-07-01,151
1950-08-01,151
1950-09-01,136
1950-10-01,99
1950-11-01,68
1950-12-01,110
1951-01-01,117
1951-02-01,125
1951-03-01,161
1951-04-01,142
1951-05-01,154
1951-06-01,161
1951-07-01,185
1951-08-01,185
1951-09-01,168
1951-10-01,141
1951-11-01,119
1951-12-01,146
1952-01-01,152
1952-02-01,163
1952-03-01,179
1952-04-01,165
1952-05-01,167
1952-06-01,205
1952-07-01,217
1952-08-01,229
1952-09-01,196
1952-10-01,176
1952-11-01,154
1952-12-01,180
1953-01-01,182
1953-02-01,182
1953-03-01,223
1953-04-01,222
1953-05-01,216
1953-06-01,230
1953-07-01,249
1953-08-01,256
1953-09-01,224
1953-10-01,198
1953-11-01,163
1953-12-01,188
1954-01-01,191
1954-02-01,173
1954-03-01,222
1954-04-01,215
1954-05-01,221
1954-06-01,249
1954-07-01,280
1954-08-01,273
1954-09-01,244
1954-10-01,216
1954-11-01,190
1954-12-01,216
1955-01-01,229
1955-02-01,220
1955-03-01,251
1955-04-01,253
1955-05-01,254
1955-06-01,290
1955-07-01,324
1955-08-01,313
1955-09-01,287
1955-10-01,257
1955-11-01,224
1955-12-01,261
1956-01-01,265
1956-02-01,260
1956-03-01,291
1956-04-01,288
1956-05-01,292
1956-06-01,331
1956-07-01,355
1956-08-01,350
1956-09-01,318
1956-10-01,283
1956-11-01,255
1956-12-01,283
1957-01-01,290
1957-02-01,279
1957-03-01,319
1957-04-01,313
1957-05-01,318
1957-06-01,360
1957-07-01,384
1957-08-01,385
1957-09-01,349
1957-10-01,313
1957-11-01,282
1957-12-01,305
1958-01-01,308
1958-02-01,292
1958-03-01,323
1958-04-01,313
1958-05-01,323
1958-06-01,367
1958-07-01,397
1958-08-01,405
1958-09-01,349
1958-10-01,321
1958-11-01,286
1958-12-01,306
1959-01-01,321
1959-02-01,309
1959-03-01,350
1959-04-01,344
1959-05-01,359
1959-06-01,388
1959-07-01,425
1959-08-01,430
1959-09-01,383
1959-10-01,351
1959-11-01,323
1959-12-01,350
